detector_type,descriptor_type,frame,no_keypoints_frame,detector_time_ms,descriptor_time_ms,no_matched_points,matching_time_ms,ttc_lidar_s,ttc_camera_s
FAST,BRIEF,6,1843,0.68680700,3.38135500,1274,9.66015200,13.34054193,12.18230591
FAST,BRIEF,7,1829,0.67483300,3.23873100,1242,9.25658200,14.45731022,10.97363108
FAST,BRIEF,8,1843,0.67500200,3.26256900,1237,9.17385400,13.13016586,12.25224576
FAST,BRIEF,9,1818,0.69014000,3.27270000,1277,9.43580500,12.34545830,13.19617142
FAST,BRIEF,10,1879,0.71860300,3.37708200,1237,9.25782500,12.14960324,12.10329224
FAST,BRIEF,11,1849,0.70676200,3.35939100,1252,9.41802100,11.54790781,13.78754827
FAST,BRIEF,12,1826,0.68752300,3.19817600,1275,9.19110500,10.07826007,12.42583648
FAST,BRIEF,13,1842,0.68781800,3.31959200,1246,9.17107100,9.20565887,12.57968253
FAST,BRIEF,14,1833,0.71650900,3.37680400,1265,9.16204000,9.54236248,10.85952694
FAST,BRIEF,15,1921,0.70448700,3.28511000,1238,10.08108300,8.39156690,12.41946776
FAST,BRIEF,16,1934,0.72481400,3.47782700,1297,9.95331400,8.88653053,11.84116160
FAST,BRIEF,17,1946,0.71311000,3.37166500,1348,10.00789800,11.04299793,10.62119430

FAST,ORB,0,1864,0.69039300,3.75731000,0,0.00000000,0.00000000,0.00000000
FAST,ORB,1,1898,0.66922200,3.86757900,1226,9.70191500,12.29943227,11.18968789
FAST,ORB,2,1865,0.67808600,3.82034900,1245,9.72770400,12.98777737,12.75708956
FAST,ORB,3,1840,0.68338100,3.69036300,1235,9.55259500,17.26938871,13.08092072
FAST,ORB,4,1867,0.63893100,3.61225500,1179,9.47595800,13.79866612,12.51391585
FAST,ORB,5,1876,0.69389100,3.79248900,1230,9.87492100,12.85564709,13.09075681
FAST,ORB,6,1843,0.66348400,3.78340300,1184,9.25929000,13.34054193,12.46415000
FAST,ORB,7,1829,0.70621000,3.76492400,1143,8.99129900,14.45731022,11.44879736
FAST,ORB,8,1843,0.67413100,3.69859200,1163,9.10937300,13.13016586,11.41637452
FAST,ORB,9,1818,0.68784000,3.71379900,1180,9.41247100,12.34545830,12.91235540
FAST,ORB,10,1879,0.73555500,3.95992800,1142,9.22156000,12.14960324,13.01790975
FAST,ORB,11,1849,0.69760500,3.77370300,1166,9.21022900,11.54790781,12.95088640
